Principio activo;Aptitud;Cultivos;Residuos (mg /Kg);Post Cosecha
ACEITE DE CREOSOTA;(Preservador de madera);;Exento;
ACEITE DE SOJA;(Coadyuvante);;Exento;
ACEITE ESCENCIAL DE AJO;(Repelente);;Exento;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Aceituna (fresca);0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Almendra;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Banana (con cáscara);0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Cereza;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Ciruela;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Damasco;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Durazno;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Cítricos en general;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Girasol (Grano consumo);0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Guinda;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Maní (sin cáscara);0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Manzana;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Membrillo;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Nuez;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Palta;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Pera;0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Poroto (grano consumo);0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Soja (grano consumo);0.01;
ACEITE MINERAL / ACEITE MINERAL BLANCO;(Acaricida - Fungicida - Insecticida);Uva ;0.01;
ACEQUINOCYL;(Acaricida);Pera;0.4;
ACEQUINOCYL;(Acaricida);Manzana;0.4;
ACEQUINOCYL;(Acaricida);Te;0.5;
ACETAMIPRID;(Insecticida);Acelga;3;
ACETAMIPRID;(Insecticida);Achicoria;3;
ACETAMIPRID;(Insecticida);Albahaca;6;
ACETAMIPRID;(Insecticida);Algodón (aceite);0.5;
ACETAMIPRID;(Insecticida);Algodón (Fibra);7;
ACETAMIPRID;(Insecticida);Algodón (semilla consumo);1;
ACETAMIPRID;(Insecticida);Berro;3;
ACETAMIPRID;(Insecticida);Cilantro;6;
ACETAMIPRID;(Insecticida);Durazno;0.1;
ACETAMIPRID;(Insecticida);Eneldo;6;
ACETAMIPRID;(Insecticida);Escarola;3;
ACETAMIPRID;(Insecticida);Espinaca;3;
ACETAMIPRID;(Insecticida - Hormiguicida);Girasol (Grano consumo);Exento;
ACETAMIPRID;(Insecticida);Manzana;0.7;
ACETAMIPRID;(Insecticida);Lechuga;3;
ACETAMIPRID;(Insecticida);Papa;0.3;
ACETAMIPRID;(Insecticida);Pera ;0.7;
ACETAMIPRID;(Insecticida);Oregano;6;
ACETAMIPRID;(Insecticida);Pimiento;0.1;
ACETAMIPRID;(Insecticida);Poroto (grano consumo);0.1;
ACETAMIPRID;(Insecticida);Poroto (planta verde);0.3;
ACETAMIPRID;(Insecticida);Romero;6;
ACETAMIPRID;(Insecticida);Rúcula;3;
ACETAMIPRID;(Insecticida);Salvia;6;
ACETAMIPRID;(Insecticida);Soja (grano consumo);0.015;
ACETAMIPRID;(Tratamiento de semillas);Soja (grano consumo);Exento;
ACETAMIPRID;(Insecticida);Tomate;0.1;
ACETAMIPRID;(Insecticida);Tomillo;6;
ACETAMIPRID;(Insecticida);Florales y ornamentales;Exento;
ACETAMIPRID;(Insecticida);Radicheta;3;
ACETATO DE AMONIO;(Feromona);;Exento;
ACETOCLOR; (Herbicida);Algodón (semilla consumo);0.1;
ACETOCLOR; (Herbicida);Caña de azúcar (tallo fresco);0.01;
ACETOCLOR; (Herbicida);Girasol (Grano consumo);0.1;
ACETOCLOR; (Herbicida);Maíz (forraje);1;
ACETOCLOR; (Herbicida);Maíz (grano consumo);0.1;
ACETOCLOR; (Herbicida);Maní (con cáscara);3;
ACETOCLOR; (Herbicida);Maní (sin cáscara);0.4;
ACETOCLOR; (Herbicida);Papa;0.01;
ACETOCLOR; (Herbicida);Soja (forraje);5;
ACETOCLOR; (Herbicida);Soja (grano consumo);0.4;
ACIDO ARSANILICO;(Fitorregulador);Naranja (Jugo);0.1;
ACIDO ARSANILICO;(Fitorregulador);Naranja (Pulpa);1;
ACIDO BETA NAFTOXIACETICO;(Fitorregulador);;Exento;
ACIDO BORICO;(Preservador de madera);;Exento;
ACIDO CACODILICO;(Defoliante - Desecante);Algodón (semilla consumo);0.05;
ACIDO CACODILICO;(Defoliante - Desecante);Algodón (aceite);0.05;
ACIDO CACODILICO;(Defoliante - Desecante);Algodón (pellets);0.05;
ACIDO CITRICO;(Coadyuvante);;Exento;
ACIDO FOSFORICO;(Coadyuvante);;Exento;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Alcaucil;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Apio;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Cebada cervecera;0.1;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Cereza;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Ciruela;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Espinaca;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Frutilla;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Cítricos en general;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Lechuga;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Lúpulo;0.1;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Papa;2;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Pera;0.5;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Perejil;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Poroto (grano consumo);0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Tomate;0.15;
ACIDO GIBERELICO/ GIBERELINA A3;(Fitorregulador);Uva (de mesa);0.15;
ACIDO GRASO METACLORO;(Coadyuvante);;Exento;
ACIDO INDOL 3 BUTÍRICO;(Fitorregulador);;Exento;
ACIDO ORTOFOSFORICO;(Coadyuvante);;Exento;
ACIDO PROPIONICO;(Coadyuvante);;Exento;
ACIRFLUORFEN SODICO;(Herbicida);Maní;0.05;
ACIRFLUORFEN SODICO;(Herbicida);Soja (grano consumo);0.02;
ACLONIFEN;(Herbicida);Cebolla (consumo);0.02;
ACLONIFEN;(Herbicida);Girasol (Grano consumo);0.1;
ACRINATRINA;(Acaricida - Insecticida);Manzana;0.05;
ACROLEINA;(Alguicida - Herbicida) ;;Exento;
ALACLOR;(Herbicida);Algodón (semilla consumo);0.1;
ALACLOR;(Herbicida);caña de azúcar (tallo fresco);0.1;
ALACLOR;(Herbicida);Girasol (Grano consumo);0.1;
ALACLOR;(Herbicida);Maíz (forraje);0.2;
ALACLOR;(Herbicida);Maíz (grano consumo);0.1;
ALACLOR;(Herbicida);Maíz dulce (grano consumo);0.1;
ALACLOR;(Herbicida);Maní (sin cáscara);0.1;
ALACLOR;(Herbicida);Poroto (grano consumo);0.1;
ALACLOR;(Herbicida);Soja (forraje);0.2;
ALACLOR;(Herbicida);Soja (grano consumo);0.1;
ALCOHOL ALCOXILADO;(Coadyuvante);;Exento;
ALCOHOL ETOXILADO;(Coadyuvante);;Exento;
ALCOHOLES GRASOS;(Fitorregulador);;Exento;
ALCOHOLES GRASOS;(Fitorregulador);Tabaco ;Exento;
ALFA NAFTALEN ACETATO DE SODIO;(Fitorregulador);Manzana;0.1;
ALFA NAFTALEN ACETATO DE SODIO;(Fitorregulador);Pera;0.1;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Alfalfa (forraje);5;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Algodón (aceite);0.2;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Algodón (semilla consumo);0.1;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Girasol (aceite);0.2;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Girasol (Grano consumo);0.1;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Lino (Grano);0.2;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Maíz (grano consumo);0.1;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Soja (aceite);0.2;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Soja (grano consumo);0.1;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Sorgo (forraje);5;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Sorgo (grano consumo);0.1;
ALFACIPERMETRINA/ALFAMETRINA;(Insecticida);Trigo (grano consumo);0.05;
ALQUIL FENOL ETOXILADO;(Coadyuvante);;Exento;
AMETOCTRADIN;(Fungicida);Papa;0.01;
AMETOCTRADIN;(Fungicida); Uva (vinificación);5;
AMETOCTRADIN;(Fungicida);Uva (de mesa);5;
AMETRINA;(Herbicida);Banana (con cáscara);0.25;
AMETRINA;(Herbicida);Caña de azúcar (tallo fresco);0.05;
AMICARBAZONE;(Herbicida);Caña de azúcar ;0.03;
AMICARBAZONE;(Herbicida);Maíz (grano consumo);0.04;
AMINA GRASA ETOXILADA;(Coadyuvante);;Exento;
AMINOETOXIVINILGLICINA;(Fitorregulador);Manzana;0.05;
AMINOPYRALID;(Herbicida);Pasturas de gramíneas;60;
AMINOPYRALID;(Herbicida);Trigo (grano consumo);0.04;
AMINOTRIAZOL;(Herbicida);;Exento;
AMISULBRON;(Fungicida)  ;Papa;0.05;
AMITRAZ; (Acaricida);Manzana;0.5;
AMITRAZ; (Acaricida);Pera;0.5;
AMONIO CUATERNARIO;(Alguicida - Bactericida - Fungicida) ;;Exento;
ASULAM;(Herbicida);Caña de azúcar (tallo fresco);0.01;
ATRAZINA;(Herbicida);Caña de azúcar (tallo fresco);0.25;
ATRAZINA;(Herbicida);Maíz (grano consumo);0.25;
ATRAZINA;(Herbicida);Maíz (forraje);15;
ATRAZINA;(Herbicida);Maíz dulce (grano consumo);0.25;
ATRAZINA;(Herbicida);Sorgo (grano consumo);0.25;
ATRAZINA;(Herbicida);Sorgo (forraje);15;
ATRAZINA;(Herbicida);Té;0.1;                                                                                                                                                                                                                                                                                                                    
ATRAZINA;(Herbicida);Barbecho químico;Exento;
AZADIRACTINA; (Fitorregulador - Insecticida);Cítricos en general;Exento;
AZADIRACTINA; (Fitorregulador - Insecticida);Frutilla;Exento;
AZADIRACTINA; (Fitorregulador - Insecticida);Pimiento;Exento;
AZADIRACTINA; (Fitorregulador - Insecticida);Soja;Exento;
AZADIRACTINA; (Fitorregulador - Insecticida);Tabaco ;Exento;
AZADIRACTINA; (Fitorregulador - Insecticida);Tomate;Exento;
AZADIRACTINA; (Fitorregulador - Insecticida);Florales y ornamentales;Exento;
AZOCICLOTIN;(Acaricida)  ;Limón;2;
AZOCICLOTIN;(Acaricida)  ;Mandarina;2;
AZOCICLOTIN;(Acaricida)  ;Manzana;2;
AZOCICLOTIN;(Acaricida)  ;Melón;0.5;
AZOCICLOTIN;(Acaricida)  ;Naranja;2;
AZOCICLOTIN;(Acaricida)  ;Pepino;0.5;
AZOCICLOTIN;(Acaricida)  ;Pera;2;
AZOCICLOTIN;(Acaricida)  ;Tomate;0.1;
AZOCICLOTIN;(Acaricida)  ;Florales y ornamentales;Exento;
AZOXISTROBINA;(Fungicida)  ;Acelga;10;
AZOXISTROBINA;(Fungicida)  ;Achicoria;10;
AZOXISTROBINA;(Fungicida)  ;Ajo (consumo);0.05;
AZOXISTROBINA;(Fungicida)  ;Albahaca;10;
AZOXISTROBINA;(Fungicida)  ;Apio;0.5;
AZOXISTROBINA;(Fungicida)  ;Arándano;3;
AZOXISTROBINA;(Fungicida)  ;Arroz (grano consumo);1;
AZOXISTROBINA;(Fungicida)  ;Arroz blanco (grano consumo);0.1;
AZOXISTROBINA;(Fungicida)  ;Arveja (grano consumo);0.2;
AZOXISTROBINA;(Fungicida)  ;Avena (grano consumo);0.02;
AZOXISTROBINA;(Fungicida)  ;Brócoli;1;
AZOXISTROBINA;(Fungicida)  ;Cebada (grano consumo);0.1;
AZOXISTROBINA;(Fungicida)  ;Cebolla (consumo);0.05;
AZOXISTROBINA;(Fungicida)  ;Cereza;0.5;
AZOXISTROBINA;(Fungicida)  ;Cilantro;10;
AZOXISTROBINA;(Fungicida)  ;Ciruela;0.5;
AZOXISTROBINA;(Fungicida)  ;Coliflor;1;
AZOXISTROBINA;(Fungicida)  ;Colza;0.01;
AZOXISTROBINA;(Fungicida)  ;Damasco;0.5;
AZOXISTROBINA;(Fungicida)  ;Durazno;0.5;
AZOXISTROBINA;(Fungicida)  ;Eneldo;10;
AZOXISTROBINA;(Fungicida)  ;Escarola;10;
AZOXISTROBINA;(Fungicida)  ;Espinaca;10;
AZOXISTROBINA;(Fungicida)  ;Frutilla;2;
AZOXISTROBINA;(Fungicida)  ;Garbanzo (Grano consumo);0.015;
AZOXISTROBINA;(Fungicida)  ;Girasol (Grano consumo);0.05;
AZOXISTROBINA;(Fungicida)  ;Granada;0.05;
AZOXISTROBINA;(Fungicida)  ;Guinda;0.5;
AZOXISTROBINA;(Fungicida)  ;Lechuga;3;
AZOXISTROBINA;(Fungicida)  ;Lenteja (grano consumo);0.01;
AZOXISTROBINA;(Fungicida)  ;Limón;0.5;
AZOXISTROBINA;(Fungicida)  ;Limón;0.5;Po
AZOXISTROBINA;(Fungicida)  ;Mandarina;0.5;
AZOXISTROBINA;(Fungicida)  ;Maíz (grano consumo);0.01;
AZOXISTROBINA;(Fungicida - Tratamiento de semillas)  ;Maíz (grano consumo);Exento;
AZOXISTROBINA;(Fungicida)  ;Maní (sin cáscara);0.01;
AZOXISTROBINA;(Fungicida)  ;Maní (sin cáscara);Exento;
AZOXISTROBINA;(Fungicida)  ;Melón;0.1;
AZOXISTROBINA;(Fungicida)  ;Naranja;0.5;
AZOXISTROBINA;(Fungicida)  ;Nectarín / Pelón;0.5;
AZOXISTROBINA;(Fungicida)  ;Oregano;10;
AZOXISTROBINA;(Fungicida)  ;Papa;0.01;
AZOXISTROBINA;(Fungicida)  ;Pimiento;0.15;
AZOXISTROBINA;(Fungicida)  ;Pepino;0.1;
AZOXISTROBINA;(Fungicida)  ;Perejil;10;
AZOXISTROBINA;(Fungicida)  ;Pomelo;0.5;
AZOXISTROBINA;(Fungicida)  ;Poroto (grano consumo);0.01;
AZOXISTROBINA;(Fungicida)  ;Radiccio;3;
AZOXISTROBINA;(Fungicida)  ;Romero;10;
AZOXISTROBINA;(Fungicida)  ;Salvia;10;
AZOXISTROBINA;(Fungicida)  ;Soja (grano consumo);0.1;
AZOXISTROBINA;(Fungicida - Tratamiento de semillas)  ;Soja (grano consumo);Exento;
AZOXISTROBINA;(Fungicida)  ;Sorgo (grano consumo);0.02;
AZOXISTROBINA;(Fungicida)  ;Tabaco ;Exento;
AZOXISTROBINA;(Fungicida)  ;Tomate;0.5;
AZOXISTROBINA;(Fungicida)  ;Tomillo;10;
AZOXISTROBINA;(Fungicida)  ;Trigo (grano consumo);0.2;
AZOXISTROBINA;(Fungicida - Tratamiento de semillas)  ;Trigo (grano consumo);Exento;
AZOXISTROBINA;(Fungicida)  ;Zanahoria;0.05;
AZOXISTROBINA;(Fungicida)  ;Zapallo;0.1;
AZOXISTROBINA;(Fungicida)  ;Uva (de mesa);2;
AZOXISTROBINA;(Fungicida)  ;Florales y ornamentales;Exento;
AZOXISTROBINA;(Fungicida)  ;Zapallito de tronco;0.01;
AZOXISTROBINA;(Funguicida);Repollito de Bruselas;1.5;
AZUFRE;(Fungicida - Acaricida)  ;;Exento;
BACILLUS SUBTILIS;(Fungicida)  ;Trigo (grano consumo);Exento;
BACILLUS SUBTILIS;(Fungicida)  ;Arándano;Exento;
BACILLUS SUBTILIS;(Fungicida)  ;Uva (de mesa);Exento;
BACILLUS SUBTILIS;(Fungicida)  ;Frutilla;Exento;
BACILLUS THURINGIENSIS;(Insecticida - Acaricida)  ;;Exento;
BEAUVERIA BASSIANA;(Acaricida)  ;;Exento;
BENALAXIL;(Fungicida)  ;Papa;0.02;
BENALAXIL;(Fungicida)  ;Pimiento;0.5;
BENALAXIL;(Fungicida)  ;Tomate;0.5;
BENALAXIL;(Fungicida)  ;Uva (de mesa);0.2;
BENAZOLIN ETIL;(Herbicida);Girasol (Grano consumo);0.05;
BENAZOLIN ETIL;(Herbicida);Soja (forraje);0.1;
BENAZOLIN ETIL;(Herbicida);Soja (grano consumo);0.05;
BENFURACARB ;(Insecticida);Papa;0.05;
BENFURACARB ;(Insecticida);Papa (papa semilla);0.05;
BENOMIL;(Fungicida)  ;Ajo (bulbo);0.2;
BENOMIL;(Fungicida)  ;Arroz (grano sin cáscara);0.2;
BENOMIL;(Fungicida)  ;Cebolla (consumo);0.2;
BENOMIL;(Fungicida)  ;Puerro;0.2;
BENOMIL;(Fungicida)  ;Radiccio;0.1;
BENOMIL;(Fungicida)  ;Cítricos en general;0.5;
BENOMIL;(Fungicida)  ;Cítricos en general;0.5;Po
BENOMIL;(Fungicida)  ;Zapallo;0.5;
BENOMIL;(Fungicida)  ;Zapallito de tronco;0.5;
BENOMIL;(Fungicida)  ;Sandía;1;
BENOMIL;(Fungicida)  ;Ciruela;0.5;
BENOMIL;(Fungicida)  ;Ciruela;0.5;Po
BENOMIL;(Fungicida)  ;Sandía;1;Po
BENOMIL;(Fungicida)  ;Durazno;0.5;
BENOMIL;(Fungicida)  ;Durazno;0.5;Po
BENOMIL;(Fungicida)  ;Nectarín / Pelón;0.5;
BENOMIL;(Fungicida)  ;Nectarín / Pelón;0.5;Po
BENOMIL;(Fungicida)  ;Damasco;0.5;
BENOMIL;(Fungicida)  ;Damasco;0.5;Po
BENOMIL;(Fungicida)  ;Cereza;0.5;
BENOMIL;(Fungicida)  ;Cereza;0.5;Po
BENOMIL;(Fungicida)  ;Guinda;0.5;
BENOMIL;(Fungicida)  ;Guinda;0.5;Po
BENOMIL;(Fungicida)  ;Manzana;1;
BENOMIL;(Fungicida)  ;Manzana;1;Po
BENOMIL;(Fungicida)  ;Pera ;1;
BENOMIL;(Fungicida)  ;Pera ;1;Po
BENOMIL;(Fungicida)  ;Membrillo;1;
BENOMIL;(Fungicida)  ;Membrillo;1;Po
BENOMIL;(Fungicida)  ;Frutilla;3;
BENOMIL;(Fungicida)  ;Frutilla;3;Po
BENOMIL;(Fungicida)  ;Haba;1;
BENOMIL;(Fungicida)  ;Lenteja (grano consumo);1;
BENOMIL;(Fungicida)  ;Poroto (grano consumo);1;
BENOMIL;(Fungicida)  ;Soja (grano consumo);0.2;
BENOMIL;(Fungicida)  ;Maní (sin cáscara);0.2;
BENOMIL;(Fungicida)  ;Tomate;2.5;
BENOMIL;(Fungicida)  ;Melón;1;
BENOMIL;(Fungicida)  ;Melón;1;Po
BENOMIL;(Fungicida)  ;Uva (de mesa);3;
BENOMIL;(Fungicida)  ;Uva (de mesa);3;Po
BENOMIL;(Fungicida)  ;Arroz (forraje seco);15;
BENOMIL;(Fungicida)  ;Trigo (forraje seco);15;
BENOMIL;(Fungicida)  ;Florales y ornamentales;Exento;
BENOMIL;(Fungicida)  ;Bulbos, estacas destinadas a plantacion;Exento;
BENTAZON;(Herbicida);Alfalfa (forraje);2;
BENTAZON;(Herbicida);Almendra;0.2;
BENTAZON;(Herbicida);Arroz (grano consumo);0.05;
BENTAZON;(Herbicida);Arveja (grano consumo);0.1;
BENTAZON;(Herbicida);Cebolla (consumo);0.05;
BENTAZON;(Herbicida);Cereza;0.2;
BENTAZON;(Herbicida);Ciruela;0.2;
BENTAZON;(Herbicida);Damasco;0.2;
BENTAZON;(Herbicida);Durazno;0.2;
BENTAZON;(Herbicida);Espárrago (consumo);0.1;
BENTAZON;(Herbicida);Cítricos en general;0.2;
BENTAZON;(Herbicida);Guinda;0.2;
BENTAZON;(Herbicida);Lino (forraje);3;
BENTAZON;(Herbicida);Maíz (aceite);0.05;
BENTAZON;(Herbicida);Maíz dulce (grano consumo);0.05;
BENTAZON;(Herbicida);Maíz (forraje);2;
BENTAZON;(Herbicida);Maíz (grano consumo);0.05;
BENTAZON;(Herbicida);Maní (con cáscara);0.5;
BENTAZON;(Herbicida);Maní (forraje);3;
BENTAZON;(Herbicida);Maní (sin cáscara);0.05;
BENTAZON;(Herbicida);Manzana;0.2;
BENTAZON;(Herbicida);Membrillo;0.2;
BENTAZON;(Herbicida);Nuez;0.2;
BENTAZON;(Herbicida);Papa;0.05;
BENTAZON;(Herbicida);Pasturas consociadas (leguminosas y gramíneas);2;
